compound,,standard,unit,water,toxicity,type,priority_pollutant,carcinogen,loel,human_health_1e_6,pH_dependent,hardness_dependent,temp_dependent
ACENAPTHENE,http://cactus.nci.nih.gov/chemical/structure/ACENAPTHENE/stdinchikey,1700,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ACROLEIN,http://cactus.nci.nih.gov/chemical/structure/ACROLEIN/stdinchikey,68,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ACRYLONITRILE,http://cactus.nci.nih.gov/chemical/structure/ACRYLONITRILE/stdinchikey,7550,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ALDRIN,http://cactus.nci.nih.gov/chemical/structure/ALDRIN/stdinchikey,3,ug / L,fresh,acute,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AMMONIA,http://cactus.nci.nih.gov/chemical/structure/AMMONIA/stdinchikey,,ug / L,fresh,acute,aquatic life,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
ANTIMONY,http://cactus.nci.nih.gov/chemical/structure/ANTIMONY/stdinchikey,9000,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ARSENIC (PENT),http://cactus.nci.nih.gov/chemical/structure/ARSENIC (PENT)/stdinchikey,850,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ARSENIC (TRI),http://cactus.nci.nih.gov/chemical/structure/ARSENIC (TRI)/stdinchikey,360,ug / L,fresh,acute,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BENZENE,http://cactus.nci.nih.gov/chemical/structure/BENZENE/stdinchikey,5300,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BENZIDINE,http://cactus.nci.nih.gov/chemical/structure/BENZIDINE/stdinchikey,2500,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BERYLLIUM,http://cactus.nci.nih.gov/chemical/structure/BERYLLIUM/stdinchikey,130,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BHC,http://cactus.nci.nih.gov/chemical/structure/BHC/stdinchikey,100,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
